ssn,badgeNum,rank,pName
200988853,13418,Lieutenant,166th
873322678,21620,Regular,14th
798816439,58218,Commander,33rd
182417594,44565,Cadet,78th
836016315,78980,Lieutenant,12th
883587260,21644,Major,139th
898422973,62317,Trooper,108th
707156158,78999,Lieutenant,77th
478681280,21661,Commander,42nd
519207105,29856,Cadet,25th
213211331,95393,Trooper,178th
682916036,46249,Regular,144th
426801349,13491,Sergeant,167th
466680007,13493,Sergeant,181st
248592588,79032,Trooper,158th
400398541,70854,Regular,183rd
597694670,79049,Cadet,91st
151238862,46289,Deputy,85th
316578000,54482,Cadet,56th
598776017,95452,Sergeant,117th
163961036,70881,Deputy,47th
374905041,54501,Commander,104th
694507738,29926,Sergeant,136th
826546395,62705,Commander,136th
326039772,46327,Lieutenant,92nd
646207709,62716,Sergeant,131st
655300830,46344,Commander,67th
877721823,54537,Sergeant,34th
386332896,70926,Major,135th
499489002,70932,Commander,191st
762255596,29979,Commander,83rd
381958382,62751,Lieutenant,64th
276035823,62752,Regular,32nd
222517488,29987,Deputy,195th
754997491,95543,Major,161st
709105910,46404,Regular,39th
176773368,41870,Cadet,94th
947173625,54618,Deputy,165th
310819064,30046,Commander,67th
118552826,21855,Cadet,26th
402176252,38241,Major,112th
556349692,65083,Deputy,162nd
139606271,21861,Sergeant,92nd
987478272,21876,Major,20th
708974849,38270,Deputy,32nd
536869123,71050,Regular,33rd
653195525,21901,Sergeant,22nd
735582470,95631,Trooper,179th
378599687,38291,Major,16th
430872839,13718,Trooper,102nd
359233802,79263,Sergeant,150th
129161485,62881,Major,122nd
671774996,81478,Sergeant,3rd
584169748,54694,Commander,69th
521623831,46513,Commander,139th
694024472,13765,Regular,130th
520796441,21958,Lieutenant,116th
791165217,87497,Commander,114th
312031522,95697,Sergeant,41st
824113443,87514,Deputy,184th
451369251,95712,Major,92nd
120363301,71142,Major,39th
626833703,62952,Cadet,55th
633174314,62956,Major,7th
498841899,95727,Commander,91st
906475819,46585,Major,123rd
850884910,54784,Deputy,93rd
119699758,54790,Trooper,119th
906205489,30215,Sergeant,136th
600570164,46602,Regular,168th
676526391,22030,Commander,131st
212154679,59652,Deputy,164th
429562169,31831,Deputy,110th
690231611,71197,Regular,125th
385833276,95777,Sergeant,155th
673888578,63010,Regular,78th
341506373,22057,Commander,32nd
343161162,22063,Trooper,1st
571529547,95796,Deputy,119th
116283726,95807,Sergeant,48th
759593295,46658,Cadet,171st
509450578,30275,Deputy,69th
667015511,95814,Sergeant,5th
770767191,63062,Commander,72nd
160987481,38490,Sergeant,115th
420100446,95836,Major,164th
661928289,13919,Cadet,102nd
176429410,87649,Regular,69th
484866403,71268,Major,186th
207493476,95853,Regular,21st
607041893,38512,Commander,122nd
267385192,43285,Cadet,181st
633043308,46733,Trooper,157th
546773358,22158,Deputy,134th
829487472,30353,Commander,51st
368367991,22162,Sergeant,16th
647592311,13251,Deputy,90th
210459001,38557,Trooper,191st
578279800,87711,Sergeant,144th
809695611,95910,Trooper,101st
447854971,13993,Cadet,117th
283081089,46762,Commander,11th
656472450,30380,Cadet,87th
436697476,95918,Trooper,151st
520509828,95919,Commander,187th
748738949,38576,Deputy,161st
977353096,46769,Lieutenant,70th
189675912,79539,Regular,23rd
832854412,95924,Sergeant,171st
959601036,54967,Commander,22nd
312433041,87737,Major,189th
761502098,54979,Major,9th
128760209,54989,Trooper,26th
376035732,29647,Trooper,193rd
415037846,63206,Sergeant,36th
217020825,30446,Deputy,32nd
860133789,46835,Deputy,180th
431102369,95989,Regular,61st
492124578,71415,Regular,21st
176658851,63227,Deputy,124th
599316900,78805,Regular,54th
820976038,14080,Cadet,106th
974428582,22277,Commander,73rd
121715111,14087,Regular,115th
487258537,55058,Commander,107th
308943274,79638,Regular,23rd
222681515,71447,Regular,46th
742701481,55072,Deputy,42nd
303348140,38696,Deputy,137th
804305326,87854,Major,42nd
717183406,55096,Sergeant,160th
461552050,71490,Trooper,106th
756505014,38724,Commander,34th
534772153,96074,Lieutenant,60th
920549817,13282,Trooper,96th
155949499,79697,Cadet,187th
303831483,22358,Lieutenant,159th
967170500,14171,Trooper,36th
211409350,46940,Trooper,189th
832584136,65168,Trooper,3rd
489134537,55139,Regular,26th
864803274,96105,Lieutenant,131st
796522955,87914,Commander,139th
165042634,46958,Deputy,165th
951196108,14191,Major,144th
103283146,22388,Commander,95th
107862479,55179,Trooper,22nd
416594385,63382,Trooper,95th
143243730,87967,Commander,112th
275347928,47011,Major,53rd
231971288,63398,Commander,83rd
841447896,47021,Major,105th
985946587,30642,Lieutenant,22nd
180902364,87992,Lieutenant,35th
624851421,91125,Regular,11th
528284124,96196,Major,124th
118430171,22469,Lieutenant,31st
269924840,55241,Trooper,154th
296901096,63441,Commander,110th
413268458,63442,Regular,105th
287087084,96212,Cadet,130th
749959662,47062,Regular,134th
573716974,71648,Sergeant,28th
987290096,71652,Regular,34th
864451057,22505,Lieutenant,66th
205699570,38897,Trooper,108th
533821939,55288,Commander,65th
547699184,47108,Trooper,79th
180124155,35158,Commander,65th
913652222,79881,Regular,33rd
331774462,96274,Trooper,67th
265247230,79893,Major,160th
733813252,79894,Commander,106th
435411460,71709,Lieutenant,171st
308107785,30754,Commander,14th
270793226,47139,Deputy,134th
911546890,38953,Major,103rd
591305232,79915,Cadet,31st
350165521,55342,Regular,34th
902756883,71737,Cadet,130th
701561363,79930,Cadet,63rd
101407253,96319,Deputy,130th
645397014,30786,Trooper,1st
375814678,63555,Trooper,57th
550926872,38991,Trooper,161st
395950617,55380,Deputy,46th
421091866,14426,Trooper,147th
528833050,96348,Commander,51st
149101077,88162,Deputy,27th
268589597,55403,Trooper,71st
524827169,96367,Cadet,13th
923621922,14458,Commander,190th
358693413,71817,Lieutenant,156th
833788456,14482,Commander,120th
853170731,30867,Lieutenant,77th
769178156,14484,Sergeant,41st
632052269,14486,Deputy,43rd
247446061,46105,Major,134th
721222191,43375,Sergeant,64th
683768364,22685,Trooper,153rd
102758964,96424,Regular,14th
556702263,71849,Commander,134th
750066233,30897,Sergeant,169th
854178361,55478,Lieutenant,42nd
680540729,22713,Cadet,48th
437770812,40651,Lieutenant,79th
778320443,81612,Lieutenant,141st
611670595,39117,Commander,138th
979892803,47319,Major,152nd
536492613,96475,Deputy,14th
187284039,22749,Commander,88th
773208648,80105,Commander,9th
917486155,47341,Cadet,87th
341146189,47345,Regular,74th
703011407,22779,Cadet,168th
891288143,88319,Lieutenant,60th
688708176,30977,Sergeant,61st
759446102,96516,Regular,144th
736369242,96531,Cadet,105th
924768863,63764,Sergeant,15th
109697634,96541,Trooper,137th
652737125,88354,Sergeant,103rd
928864870,63779,Commander,145th
206092902,47403,Deputy,99th
389380712,55602,Lieutenant,120th
868620908,39221,Sergeant,189th
748517997,63800,Major,28th
594279024,82997,Major,168th
724023932,80197,Major,78th
272554626,80198,Sergeant,44th
471046786,39244,Trooper,178th
997726852,88397,Deputy,158th
209705605,14670,Cadet,63rd
315660933,55631,Trooper,38th
425138821,93926,Regular,174th
938146442,88422,Major,76th
316242571,88427,Trooper,121st
640563850,39277,Major,63rd
982162059,22898,Cadet,82nd
338172554,80245,Commander,93rd
966261393,55677,Cadet,118th
459774610,39294,Deputy,148th
689797779,55683,Regular,53rd
951327379,55689,Cadet,89th
558553749,72077,Commander,43rd
714758809,72081,Cadet,105th
148945562,72085,Regular,17th
534731418,80278,Trooper,56th
690993821,72101,Trooper,41st
326040223,88501,Deputy,30th
392551071,47550,Regular,34th
807844511,72136,Commander,187th
401545892,96714,Trooper,101st
582654630,55773,Commander,169th
684202663,23006,Regular,80th
544971431,96677,Sergeant,109th
488815270,39392,Deputy,192nd
110893734,31202,Major,42nd
644864684,23013,Lieutenant,89th
634542767,72174,Sergeant,195th
871340720,39409,Deputy,146th
298007217,14848,Deputy,126th
478411442,73695,Deputy,89th
234494643,23049,Trooper,12th
712932020,64015,Sergeant,51st
936229559,47635,Regular,38th
553712312,80405,Major,110th
489880248,64022,Trooper,42nd
284662455,55831,Commander,152nd
127867577,14875,Trooper,78th
765082301,88609,Commander,104th
656079551,23078,Commander,32nd
617315011,64044,Commander,56th
705452740,96813,Commander,75th
166460101,23086,Trooper,1st
246012616,96816,Trooper,114th
796441289,64055,Sergeant,49th
455916237,39489,Sergeant,15th
400513741,23107,Commander,53rd
195713741,55883,Trooper,163rd
607804115,64081,Lieutenant,140th
256760532,23126,Deputy,134th
218102485,80473,Commander,51st
529005268,39515,Regular,29th
651352794,23132,Lieutenant,9th
521616091,64101,Deputy,101st
654351068,88678,Major,3rd
925481693,23144,Sergeant,85th
710343390,96876,Major,78th
911743711,63934,Commander,9th
552516324,80503,Sergeant,84th
611916516,39547,Major,41st
412039910,96892,Sergeant,74th
559061736,14982,Lieutenant,13th
238885609,72328,Cadet,123rd
516889323,31374,Trooper,137th
937302767,23196,Lieutenant,121st
571366130,42097,Cadet,108th
466844406,39592,Sergeant,36th
974338812,47786,Commander,129th
521026301,96946,Trooper,175th
622271229,96955,Trooper,62nd
275831553,56005,Major,112th
112278274,15046,Sergeant,86th
188332803,56010,Regular,190th
803306242,31440,Commander,7th
358570757,96985,Deputy,153rd
175979270,47834,Deputy,30th
920312583,80607,Deputy,25th
610622211,64224,Deputy,126th
513809158,50299,Deputy,64th
546757386,96996,Deputy,44th
789003018,39675,Lieutenant,124th
616635148,39681,Regular,3rd
153467661,23301,Trooper,140th
453016334,15115,Major,144th
583154458,23309,Deputy,101st
759446298,64271,Lieutenant,110th
797661980,31506,Lieutenant,53rd
811498269,56086,Trooper,111th
313375520,64290,Major,179th
397007650,80679,Lieutenant,54th
579115811,64298,Sergeant,101st
592075558,64299,Deputy,155th
932043559,47917,Commander,63rd
892836651,97075,Deputy,96th
201915180,64312,Major,6th
356604720,18911,Deputy,110th
237959987,31548,Sergeant,92nd
237116212,64320,Cadet,145th
389692212,88913,Regular,134th
353622839,72530,Cadet,166th
986733371,97107,Cadet,119th
735681340,97116,Cadet,68th
154704700,56160,Major,104th
567384894,23398,Trooper,145th
116562751,81724,Deputy,89th
882744129,64369,Commander,132nd
394337090,39800,Sergeant,125th
668891970,72569,Regular,155th
312392514,80767,Cadet,32nd
862313286,56194,Regular,18th
999643976,88963,Commander,109th
490003276,48008,Commander,64th
933600080,21655,Trooper,62nd
335854416,85826,Sergeant,54th
659086162,15247,Commander,89th
759167825,23454,Cadet,4th
752900953,80801,Cadet,78th
110861146,48041,Sergeant,13th
778599259,23466,Major,160th
329349978,64427,Trooper,71st
184359771,31667,Sergeant,122nd
200579929,79343,Commander,194th
171367270,56249,Cadet,4th
572963689,89018,Deputy,127th
743848810,15296,Regular,116th
361077609,23494,Commander,141st
194272108,64474,Trooper,91st
844692329,97247,Trooper,189th
730053486,89056,Regular,87th
318708593,31719,Commander,187th
753040242,48114,Sergeant,146th
486718323,80883,Deputy,77th
380648308,64506,Cadet,141st
182590325,64509,Lieutenant,51st
731945844,23554,Lieutenant,180th
995720058,97289,Trooper,178th
599456635,72721,Regular,42nd
141745022,23570,Major,66th
776321918,27139,Cadet,129th
102423424,23578,Lieutenant,76th
969120638,48155,Cadet,184th
543914882,64540,Sergeant,45th
809401220,39967,Regular,97th
791337864,31780,Trooper,29th
735820681,15397,Commander,9th
700259210,64558,Sergeant,86th
394648459,57182,Lieutenant,168th
614398859,64568,Commander,150th
143547273,48190,Cadet,192nd
944880527,80961,Commander,118th
530512790,56386,Lieutenant,36th
184687516,23623,Lieutenant,41st
447118236,40011,Trooper,5th
721230750,29880,Cadet,173rd
279567264,97363,Trooper,186th
435428257,72790,Trooper,40th
543914914,15447,Major,98th
580369313,15464,Lieutenant,51st
291716005,81008,Commander,30th
561224615,48242,Major,17th
835853225,66754,Deputy,154th
877624233,72849,Lieutenant,178th
202136494,48276,Major,53rd
709524401,81046,Sergeant,113th
794950578,97438,Deputy,16th
460102578,95430,Commander,169th
143817652,72870,Lieutenant,42nd
110541749,89257,Major,163rd
790944697,72886,Cadet,115th
494476220,89279,Regular,167th
236649405,23756,Commander,160th
562977726,81103,Major,193rd
574290883,31953,Regular,189th
395180995,23766,Lieutenant,116th
491658182,23768,Lieutenant,91st
296999882,89305,Trooper,161st
146578380,56546,Sergeant,9th
790371278,40163,Regular,127th
506141648,27174,Commander,20th
179223506,72935,Lieutenant,94th
473455572,31977,Deputy,181st
714472405,81789,Deputy,92nd
337189846,72946,Trooper,56th
291642326,23796,Cadet,139th
120830936,72950,Trooper,13th
471309273,64763,Major,25th
559266778,89343,Sergeant,131st
501717978,89353,Trooper,62nd
578550746,99543,Deputy,173rd
925621215,56593,Deputy,42nd
223665119,15635,Sergeant,78th
959200225,97558,Major,13th
956562401,97561,Lieutenant,13th
316013539,56606,Lieutenant,188th
675920868,56616,Trooper,184th
442563556,48425,Regular,98th
606493674,40247,Lieutenant,158th
490478573,64827,Sergeant,42nd
361266159,81214,Sergeant,11th
740383727,97599,Lieutenant,28th
549731313,56640,Deputy,181st
938531828,53132,Cadet,191st
610540534,81227,Lieutenant,132nd
936352762,64849,Sergeant,34th
588250107,23890,Major,53rd
470866939,19003,Regular,8th
361880573,89444,Sergeant,25th
387062782,64871,Lieutenant,10th
421542906,48492,Deputy,164th
388660226,73070,Regular,118th
906427394,56696,Commander,154th
513825797,97660,Commander,35th
476986373,32125,Commander,53rd
886348807,64904,Major,36th
991722504,40332,Deputy,30th
894835720,32146,Commander,116th
361036809,32148,Trooper,146th
187046922,32152,Deputy,45th
981572614,64924,Sergeant,59th
217766926,81324,Regular,144th
139123729,23986,Lieutenant,83rd
654695442,81334,Lieutenant,23rd
433830934,48568,Sergeant,46th
808336408,64954,Trooper,55th
715078681,40385,Lieutenant,147th
410655770,48581,Regular,24th
250477592,32201,Deputy,121st
103947296,56781,Trooper,25th
478780449,24029,Regular,51st
766434338,15845,Lieutenant,15th
625327139,47697,Sergeant,164th
856833060,48621,Cadet,113th
831364135,15855,Commander,139th
889879596,97776,Lieutenant,109th
292936749,40439,Sergeant,180th
966417455,73208,Lieutenant,188th
168303665,81406,Regular,90th
867466290,40458,Deputy,46th
566934580,97807,Deputy,65th
851680309,81425,Major,176th
633936950,89626,Sergeant,37th
327515194,15900,Regular,193rd
987995195,32303,Major,104th
674110526,81457,Trooper,104th
900193342,81461,Major,88th
244243518,48694,Deputy,125th
890870849,24122,Commander,132nd
170032194,32315,Deputy,58th
609958979,73276,Sergeant,94th
438697028,89664,Major,155th
724474949,32321,Commander,97th
332135491,97860,Regular,16th
213818435,40518,Deputy,127th
909261901,89672,Sergeant,161st
974650446,32330,Lieutenant,174th
547183693,89676,Regular,25th
781671504,32362,Major,137th
325229649,40557,Deputy,37th
676486228,97916,Deputy,23rd
908016728,48765,Commander,110th
557382745,48767,Cadet,157th
696261722,40896,Major,51st
643578971,48777,Deputy,24th
850582620,24202,Lieutenant,47th
477027421,56976,Sergeant,63rd
445307999,16018,Regular,177th
522083424,40602,Deputy,191st
699350113,40603,Cadet,76th
357899365,81573,Commander,82nd
299203685,97968,Regular,135th
952335463,48823,Major,25th
976043112,73417,Deputy,150th
910171241,65226,Sergeant,59th
144530538,89803,Commander,15th
471940210,73420,Commander,75th
224599155,73423,Regular,24th
724483187,48851,Deputy,177th
863206517,32481,Cadet,76th
435485810,16100,Sergeant,60th
907861111,16101,Sergeant,20th
566672502,98025,Major,87th
408435836,16111,Deputy,150th
964451456,65266,Lieutenant,22nd
625310851,98035,Major,163rd
454827145,57087,Regular,84th
544169098,32514,Major,81st
841522314,48899,Major,114th
589216908,10881,Sergeant,164th
625908873,56185,Deputy,103rd
608803978,98065,Cadet,66th
922352783,16146,Regular,176th
850181257,24351,Commander,5th
748674188,40740,Lieutenant,108th
623131797,32553,Regular,30th
334642325,73523,Sergeant,181st
955440277,73524,Trooper,192nd
903863446,32568,Commander,142nd
914234517,98107,Lieutenant,81st
506133658,65340,Lieutenant,31st
603864217,57150,Cadet,138th
370195611,32575,Major,61st
350428320,16194,Sergeant,160th
543521955,57158,Deputy,21st
566893732,24395,Sergeant,29th
844135588,16207,Lieutenant,157th
142777507,96910,Cadet,69th
702946471,48990,Regular,48th
898931880,65375,Sergeant,30th
192920745,16224,Trooper,136th
267074727,89953,Sergeant,69th
361823403,24427,Sergeant,93rd
230235300,57204,Major,38th
424254628,89975,Trooper,104th
546462886,89977,Sergeant,72nd
742833329,49018,Regular,166th
524172466,16253,Deputy,41st
781294773,16265,Trooper,121st
355228855,57229,Sergeant,159th
772062391,89998,Lieutenant,120th
793402553,49043,Lieutenant,124th
722345146,65438,Sergeant,179th
713497787,16290,Cadet,132nd
856751291,73638,Cadet,26th
243670204,57258,Trooper,62nd
231824574,81839,Lieutenant,161st
235166911,98226,Lieutenant,78th
847682751,57269,Regular,101st
910048449,65462,Regular,17th
639122626,42313,Cadet,106th
440466626,16320,Sergeant,177th
268639432,24518,Regular,93rd
906681545,90063,Cadet,82nd
497122505,65491,Deputy,6th
254541008,16348,Lieutenant,62nd
176692434,32733,Regular,195th
177741011,35493,Regular,176th
374578387,81891,Major,15th
672136403,57316,Cadet,48th
394755288,40937,Lieutenant,109th
975273176,40943,Sergeant,17th
520977626,90096,Lieutenant,177th
456654045,90099,Deputy,100th
143678686,24566,Trooper,187th
